"","id","vf1","vf2","vf3","vf4"
"1","t1",0.0500926123932004,0.318483788287267,0.655357850948349,0.347178237512708
"2","t2",0.85276336921379,0.116116639226675,0.495103465626016,0.279165761778131
"3","t3",0.472852384671569,0.188324152491987,0.615391531027853,0.767056538490579
"4","t4",0.746935001574457,0.941942039644346,0.561241921968758,0.77252091281116
"5","t5",0.148829580051824,0.885676699923351,0.836670438060537,0.0494135045446455
"6","t6",0.496806418290362,0.977552293799818,0.876250145025551,0.443980219773948
"7","t7",0.661581759573892,0.816153373802081,0.714997835922986,0.623329456197098
"8","t8",0.71878319978714,0.689412963110954,0.181479787454009,0.304948856122792
"9","t9",0.710261894389987,0.987229264341295,0.846643995027989,0.609464675188065
"10","t10",0.447938093915582,0.54923282796517,0.418198011815548,0.113650476094335
"11","t11",0.591278097126633,0.422174131963402,0.299346302170306,0.336856296751648
"12","t12",0.647071089129895,0.550627958728001,0.10062451986596,0.229657516814768
"13","t13",0.982841646764427,0.287682888563722,0.173837636597455,0.699378174496815
"14","t14",0.438405003165826,0.684649575967342,0.293225676985458,0.749649770790711
"15","t15",0.919215774396434,0.111413346137851,0.528105296660215,0.450473113683984
"16","t16",0.886558261467144,0.881147817475721,0.799779177876189,0.141114688944072
"17","t17",0.452611770946532,0.435411719838157,0.472391807474196,0.609328808262944
"18","t18",0.682706900173798,0.390183406881988,0.0245104674249887,0.645823993254453
"19","t19",0.512061452493072,0.796183929080144,0.960432199761271,0.836032438324764
"20","t20",0.79602337628603,0.329923252109438,0.856314029777423,0.752169720828533
"21","t21",0.574888871749863,0.945082499878481,0.747468046378344,0.728883887641132
"22","t22",0.989572961581871,0.0397555264644325,0.68586509115994,0.501327759353444
"23","t23",0.744345536921173,0.278309814399108,0.000757668865844607,0.291588964639232
"24","t24",0.738955642096698,0.933444650145248,0.538391889305785,0.18007822916843
"25","t25",0.0118306435178965,0.191846481524408,0.280157905770466,0.028608831577003
